    (-15.1912,0)     (0.225193,0)     (0.540657,0)       (10.112,0)     (-1.77363,0)    (-0.597853,0)     (0.629138,0)    (0.0834563,0)     (0.169557,0)     (0.449273,0)      (1.18489,0)     (0.307612,0)   (0.00972776,0) (-0.000512635,0)  (1.55498e-07,0)    (0.0441319,0)    (0.0651029,0)    (-0.013548,0)
   (0.0119739,0)     (-4.92306,0)      (4.33545,0)    (0.0189267,0)    (0.0450379,0)    (-0.293595,0)   (-0.0859039,0)    (0.0669029,0)     (0.134546,0)  (-0.00463446,0)   (-0.0601186,0)     (0.253716,0)  (-0.00617059,0)   (0.00322299,0)  (4.64522e-08,0)  (-0.00320368,0)  (-0.00742446,0)    (0.0360223,0)
   (0.0715678,0)      (10.1412,0)     (-13.4328,0)      (0.10726,0)     (0.254768,0)     (-1.80729,0)    (-0.428929,0)     (0.386752,0)     (0.804486,0)   (-0.0356276,0)    (-0.337908,0)      (1.27875,0)    (-0.130872,0)   (0.00769029,0)  (2.61923e-07,0)    (0.0107266,0)   (-0.0432393,0)    (0.0512678,0)
    (-0.39218,0)     (0.202752,0)     (0.656653,0)     (-1.59062,0)     (-2.34016,0)    (-0.304742,0)   (-0.0865253,0)     (0.233806,0)      (1.09514,0)    (-0.143409,0)    (-0.343882,0)    (-0.278413,0)  (-0.00919981,0)     (0.239951,0) (-2.00747e-08,0)   (-0.0149396,0)   (0.00895122,0)    (-0.299946,0)
  (-0.0261698,0)   (-0.0194194,0)   (-0.0476761,0)   (-0.0150823,0)    (-0.442625,0)   (-0.0817246,0)     (0.010601,0)    (0.0169149,0)    (0.0343792,0) (-0.000683919,0)   (-0.0016267,0)    (0.0580184,0)    (0.0103377,0)   (0.00130311,0)  (1.26977e-08,0)  (-0.00379271,0)  (-0.00100065,0)   (0.00285046,0)
 (-0.00802025,0)  (-0.00055662,0)  (-0.00313853,0)   (0.00198704,0)      (225.909,0)   (-0.0296546,0)  (-0.00942566,0)  (0.000980038,0)    (0.0047212,0)   (0.00174184,0)     (-81.6187,0)   (-0.0296546,0)  (-0.00871185,0)   (-0.0274306,0)            (0,0)   (0.00280342,0)     (-18.2221,0)   (-0.0296546,0)
     (1.04855,0)    (-0.217942,0)    (-0.527382,0)     (0.498647,0)      (2.00981,0)    (-0.401857,0)     (-19.6591,0)     (0.159322,0)     (0.332976,0)      (14.1871,0)     (-3.48302,0)     (0.144434,0)    (0.0185938,0)  (-0.00844774,0)  (1.91495e-07,0)     (0.113399,0)     (0.166458,0)    (0.0165379,0)
    (0.137806,0)     (0.124885,0)     (0.300102,0)    (0.0620742,0)    (0.0707618,0)     (0.646453,0)    (-0.051809,0)      (-7.0798,0)       (5.8676,0)   (-0.0386203,0)   (-0.0519662,0)    (-0.725228,0)   (0.00263249,0)    (0.0298287,0)   (1.5817e-07,0)  (-0.00939546,0)   (-0.0103233,0)     (0.175454,0)
    (0.651034,0)     (0.602879,0)      (1.45283,0)     (0.303327,0)     (0.341049,0)      (2.59007,0)    (-0.259854,0)      (13.6722,0)     (-19.4308,0)    (-0.183518,0)     (-0.24891,0)     (-4.01781,0)  (-0.00483313,0)    (0.0896821,0)   (7.6196e-07,0)   (-0.0396335,0)    (-0.056821,0)     (0.321095,0)
   (-0.442941,0)    (-0.108881,0)    (-0.759816,0)   (-0.0922093,0)     (-0.39711,0)      (1.16498,0)    (-0.458675,0)    (-0.630564,0)      (-3.0658,0)     (-1.42085,0)     (-1.79769,0)     (0.999495,0)   (-0.0403114,0)    (-0.855256,0) (-2.66487e-08,0)  (-0.00350067,0)    (-0.143077,0)      (1.06668,0)
