   (0.00229052,-0.00151046)     (0.0241244,-0.00222892)     (0.0110844,-0.00267545)    (-0.0709867,-0.00228867)        (-0.706925,0.542256)     (-0.0181748,-0.0052886)  (0.000962445,-0.000182123)    (0.00165862,-0.00326541)    (0.00961464,-0.00138359)     (-0.0408067,-0.0016959)       (-0.821647,0.0990282)    (0.00639127,-0.00512996)   (0.000103003,6.59838e-05)      (0.00740398,0.0070844)    (-0.0510564,5.23966e-08)    (-0.0111786,0.000538435)         (1.21192,-0.550971)       (0.0205323,0.0147245)
   (-0.00806461,0.00353628)    (-0.0147363,0.000150935)    (-0.00692399,0.00446555)     (0.0287933,0.000455121)       (-0.0722425,-1.01754)      (-0.018478,0.00521935)  (-0.000423893,0.000180501)     (-0.0102373,0.00879083)      (0.0169381,0.00277537)      (0.0167644,0.00223938)        (-0.667812,0.497982)      (0.00303001,0.0161845) (-0.000621769,-0.000162795)     (0.00352848,-0.0168502)    (0.0248176,-1.21377e-07)     (0.0129422,-0.00163612)          (0.726285,1.32043)      (0.0118557,-0.0345941)
     (-0.0265478,0.0106494)      (0.0217395,0.00317411)        (-0.02029,0.0144203)      (-0.145162,0.00210989)         (-2.76791,-2.58167)       (-0.104666,0.0224135)    (0.00667287,0.000504479)      (-0.0130537,0.0215628)       (0.106966,0.00683745)     (-0.0377655,0.00395306)            (-4.6668,1.8225)       (0.0122907,0.0437489)  (-0.00480388,-0.000538408)       (0.0326186,-0.055194)    (-0.0119103,-3.9425e-07)      (0.150856,-0.00568164)           (5.82411,4.34375)       (0.0982902,-0.112877)
     (0.0943717,-0.0381087)          (0.174576,0.15546)      (-0.156005,0.00777889)        (-0.438869,0.106299)          (-20.6488,16.4745)         (0.317772,0.227256)      (0.0610413,0.00198948)        (-0.15711,-0.222862)      (-0.232421,-0.0536747)      (-0.233237,-0.0506627)          (21.9634,-12.5872)       (-0.411944,-0.363102)     (0.0154695,0.000877783)      (-0.0266986,0.0907891)     (-0.295103,6.63624e-07)     (-0.0786791,0.00866273)          (1.53563,-6.90391)        (0.0281363,0.187665)
 (0.000816592,-0.000328317)  (-0.00290992,-0.000275857)   (0.00098773,-0.000507883)    (0.0101915,-0.000199464)        (0.103132,0.0760948)   (0.00268529,-0.000999572) (-0.000461163,-2.07715e-05)   (-0.0016971,-0.000538672)  (-0.00460141,-0.000191728)   (0.00185294,-0.000108338)       (0.180046,-0.0448296)  (-0.000227707,-0.00114717)   (0.000343488,1.73583e-05)    (-0.00115004,0.00178409)  (-0.000212381,1.27602e-08)    (-0.0128708,0.000181077)       (-0.164213,-0.140512)    (-0.00288425,0.00365078)
   (0.00170762,0.000578647)       (0.038126,-0.0294611)       (0.0172602,-0.018785)      (-0.0379848,-0.026173)         (-1.01398,0.792197)   (-0.00753551,-0.00050486)    (0.000257118,0.00168406)    (9.87892e-05,0.00274864)    (0.00946104,-0.00647112)     (-0.0298835,0.00219204)      (-0.323146,-0.0329969)    (0.00338589,-0.00570222)  (-0.000309041,0.000397843)    (0.0052166,-0.000620665)    (-0.0296545,-0.00582796)   (0.00305397,-0.000910356)        (0.871821,-0.257706)     (0.00807293,0.00802715)
  (0.000776458,-0.00251798)        (0.0380364,0.029442)       (0.0160668,0.0163612)      (-0.0382105,0.0253397)      (-0.724741,-0.0265962)   (-0.00889341,-0.00129496)    (0.000201958,-0.0018383)    (-0.00233561,-0.0090491)     (0.00867176,0.00435142)    (-0.0306036,-0.00466706)      (-0.42532,-0.00557824)  (-0.000918511,-0.00416395) (-0.000267859,-0.000326405)     (0.00951101,0.00829878)     (-0.0296545,0.00582802)     (0.00345196,0.00148627)        (0.536121,-0.335962)      (0.0169139,0.00795781)
    (-0.0093228,0.00980427)      (-0.0539009,0.0260213)      (-0.0131717,0.0145487)       (0.201217,-0.0503152)          (1.20636,-3.06354)      (0.0257518,0.00523274)    (-0.00492402,0.00216877)     (0.000122961,0.0148257)    (-0.00628311,0.00644086)       (0.107445,-0.0263492)          (1.37691,0.312902)      (0.00951545,0.0229738)   (-0.00100322,0.000125987)     (-0.0204864,-0.0210577)       (0.137302,-0.0393336)      (0.0280019,-0.0105605)           (-2.05107,2.7164)     (-0.0596015,-0.0403851)
    (-0.0132735,0.00206633)      (-0.049872,-0.0238642)     (-0.0166642,0.00101839)         (0.202989,0.055648)          (2.71598,-1.15533)       (0.0285376,0.0112923)     (-0.005083,-0.00128315)      (-0.0146904,0.0193236)     (-0.0106649,0.00509167)        (0.102876,0.0387714)         (0.888535,0.287144)       (-0.014612,0.0332046) (-0.000863982,-0.000608343)    (-0.00576441,-0.0300603)        (0.137302,0.0393332)       (0.029241,0.00630648)          (-3.19039,1.25832)        (-0.0291,-0.0654752)
      (-0.433832,-0.145011)        (-0.616057,-1.28309)        (0.263067,-0.410153)           (1.40651,5.69672)           (106.685,-25.534)          (-1.4386,0.601313)       (-0.207826,-0.100443)         (0.179885,0.146735)        (0.561422,-0.261156)          (0.654029,3.03755)          (-54.2735,99.1958)         (0.742634,0.448515)      (-0.042238,-0.0222583)        (0.817127,-0.648443)           (1.07311,3.99181)         (0.404157,0.980663)         (-67.4092,-55.7595)           (1.35934,-1.9144)
