(-2.56266e-07,-6.78107e-08)
(-0.969543,0.122964)
(-2.07523,-0.00959341)
(-2.70177,0.0178867)
(2.66476,5.76544)
(-2.75377,-6.51263)
(-0.0988899,13.1403)
(-0.502803,-13.1835)
(-14.7163,-0.00954818)
(-17.1525,-0.012006)
(-36.8893,-0.0116736)
(-46.3884,0.971269)
(-3.14911e-07,-2.26341e-07)
(-0.730868,0.122491)
(-0.709559,-0.228052)
(-1.62942,-0.0726136)
(-2.16477,-0.497278)
(-3.11371,-0.111917)
(-2.65431,2.29286)
(-0.985231,-7.01553)
(-0.868441,7.03388)
(5.86339,4.12019)
(-10.9451,-2.19148)
(8.17996,-7.80362)
(-14.9652,0.0174121)
(-17.0109,0.00699818)
(-19.9299,0.0755805)
(-23.3306,0.0780878)
(-35.3028,1.67868)
(-46.965,-2.46943)
(-0.594971,-0.00111001)
(-0.652618,-0.0937731)
(-1.26756,0.0306635)
(-1.68086,-0.0575483)
(0.260422,-1.93411)
(-1.96075,-0.0263452)
(0.184879,2.0392)
(-2.55389,-0.064292)
(-0.854048,3.19586)
(-0.824652,-3.22556)
(-0.740648,6.46242)
(-0.734373,-6.47184)
(-14.4935,0.0888838)
(-14.5418,-0.0230613)
(-16.2249,0.0013534)
(-16.9598,0.00657866)
(-19.8522,0.0067742)
(-24.1002,0.0359329)
(-3.14911e-07,-2.26341e-07)
(-0.730868,0.122491)
(-0.709559,-0.228052)
(-1.62942,-0.0726136)
(-2.16477,-0.497278)
(-3.11371,-0.111917)
(-2.65431,2.29286)
(-0.985231,-7.01553)
(-0.868441,7.03388)
(5.86339,4.12019)
(-10.9451,-2.19148)
(8.17996,-7.80362)
(-14.9652,0.0174121)
(-17.0109,0.00699818)
(-19.9299,0.0755805)
(-23.3306,0.0780878)
(-35.3028,1.67868)
(-46.965,-2.46943)
(-3.68511e-07,7.28955e-08)
(-0.61721,0.484164)
(-0.767975,-0.623563)
(-1.9355,0.188862)
(-1.94777,-0.22202)
(-2.10126,0.00375032)
(-2.55834,0.00756885)
(-1.13435,5.45466)
(-0.928059,-5.77891)
(0.657677,8.18413)
(-10.4214,0.000450731)
(-3.37431,-10.9423)
(-14.5628,0.124002)
(-17.0874,0.903147)
(16.1154,-7.71164)
(-19.8042,-0.318083)
(-20.5941,-2.02803)
(-18.306,12.2352)
