           (-0.000972786,0)             (-0.00266834,0)              (0.00621101,0)               (-0.147767,0)                (0.114576,0)                 (0.21897,0)               (-0.666875,0)               (-0.589161,0)             (-0.00685172,0)      (0.0016292,0.00139715)     (0.0016292,-0.00139715)     (0.00296042,0.00391584)    (0.00296042,-0.00391584)      (0.0298918,0.00717909)     (0.0298918,-0.00717909)     (-0.0122974,0.00310765)    (-0.0122974,-0.00310765)               (0.0256624,0)                (0.290246,0)                (0.051333,0)               (-0.152713,0)             (-0.00237636,0)               (-0.105307,0)                (0.159329,0)                (0.192675,0)              (0.00269202,0)             (-0.00371321,0)             (1.93279e-15,0)            (-6.39562e-15,0)             (-1.7032e-14,0)
           (-6.16271e-05,0)            (-5.72947e-05,0)             (-0.00880845,0)               (-0.011715,0)                 (0.30266,0)              (-0.0381381,0)              (0.00324275,0)               (0.0304309,0)            (-0.000613824,0)    (0.00184148,-0.00209354)     (0.00184148,0.00209354)     (0.0109293,-0.00663382)      (0.0109293,0.00663382)       (0.058701,-0.0798109)        (0.058701,0.0798109)      (-0.0214765,0.0590573)     (-0.0214765,-0.0590573)              (0.00275628,0)              (-0.0865422,0)              (-0.0253578,0)                (0.129891,0)              (0.00241006,0)                (0.194391,0)                (0.072147,0)                (0.595582,0)               (0.0224341,0)              (-0.0128249,0)             (1.65047e-14,0)            (-2.18263e-14,0)            (-4.88828e-14,0)
            (-0.00159492,0)              (0.00169596,0)               (0.0624583,0)               (0.0476414,0)                (-0.83963,0)               (0.0948416,0)             (-0.00616066,0)              (-0.0554242,0)             (0.000472846,0)   (0.00439958,-0.000517101)    (0.00439958,0.000517101)      (0.0167385,0.00155494)     (0.0167385,-0.00155494)       (0.121465,-0.0327138)        (0.121465,0.0327138)      (-0.0507216,0.0472929)     (-0.0507216,-0.0472929)              (0.00148422,0)              (-0.0610638,0)              (-0.0186663,0)                (0.100033,0)              (0.00183805,0)                (0.158307,0)               (0.0685355,0)                (0.551647,0)               (0.0199875,0)              (-0.0117292,0)             (1.59454e-14,0)            (-2.24162e-14,0)            (-4.90638e-14,0)
            (8.25678e-05,0)             (0.000418215,0)             (0.000517399,0)              (0.00543899,0)               (0.0202918,0)            (-0.000541906,0)              (-0.0279167,0)              (-0.0248878,0)             (-0.00114625,0) (-0.000665562,-5.31107e-05)  (-0.000665562,5.31107e-05)   (-0.00107355,-0.00109286)    (-0.00107355,0.00109286)  (-0.000395605,-0.00504827)   (-0.000395605,0.00504827)     (0.00197694,0.00391053)    (0.00197694,-0.00391053)                (0.021088,0)                (0.351761,0)               (0.0688121,0)               (-0.235177,0)             (-0.00359343,0)               (-0.211832,0)                (0.196834,0)                (0.206544,0)             (-0.00287215,0)             (-0.00407918,0)            (-1.36766e-15,0)            (-1.00719e-14,0)             (-3.2654e-14,0)
           (-5.82743e-05,0)             (2.78607e-05,0)              (0.00119199,0)            (-0.000105336,0)             (-0.00148811,0)             (0.000603895,0)             (-0.00161496,0)            (-0.000769965,0)            (-3.60083e-05,0)  (0.000296293,-0.000192462)   (0.000296293,0.000192462)   (0.00140238,-0.000523976)    (0.00140238,0.000523976)    (0.00810432,-0.00759849)     (0.00810432,0.00759849)     (-0.00290639,0.0063447)    (-0.00290639,-0.0063447)             (0.000351754,0)              (0.00078368,0)            (-5.11809e-05,0)             (0.000851143,0)             (5.67358e-05,0)             (0.000552145,0)               (-0.122005,0)             (0.000831217,0)            (-0.000354843,0)            (-0.000522104,0)             (1.23184e-15,0)            (-1.69425e-15,0)            (-3.98934e-15,0)
            (0.000382927,0)            (-7.80747e-05,0)               (-0.014213,0)              (0.00192572,0)               (0.0260573,0)              (-0.0135208,0)               (0.0323348,0)               (0.0155677,0)             (0.000431977,0)    (-0.00648827,-0.0074448)     (-0.00648827,0.0074448)      (-0.027401,-0.0945459)       (-0.027401,0.0945459)       (-0.403486,-0.309905)        (-0.403486,0.309905)         (0.498415,0.148615)        (0.498415,-0.148615)             (-0.00932924,0)              (-0.0691385,0)              (-0.0125043,0)               (0.0510092,0)              (-0.0203141,0)               (-0.115569,0)              (-0.0151571,0)               (-0.401411,0)                (0.122306,0)                (0.218725,0)                (0.446379,0)              (0.00113228,0)             (5.27039e-06,0)
            (-0.00107731,0)             (-0.00872521,0)               (0.0587037,0)                (0.968988,0)                (0.115459,0)               (-0.142595,0)               (-0.181288,0)                (-0.18843,0)             (-0.00697561,0)    (0.000874488,0.00164892)   (0.000874488,-0.00164892)   (-0.000267837,0.00461804)  (-0.000267837,-0.00461804)      (0.00264926,0.0182637)     (0.00264926,-0.0182637)    (-0.0059324,-0.00534735)     (-0.0059324,0.00534735)               (0.0273552,0)                (0.180113,0)               (0.0137634,0)                (0.100826,0)               (0.0011418,0)                (0.479055,0)                (0.170883,0)              (-0.0095087,0)               (0.0704035,0)               (0.0028301,0)            (-5.84565e-15,0)            (-1.24911e-15,0)            (-1.35827e-14,0)
            (3.62613e-05,0)            (-0.000510546,0)                (0.323309,0)               (0.0198053,0)               (0.0514737,0)              (-0.0141642,0)             (-0.00632188,0)               (0.0422646,0)            (-0.000747616,0)    (0.00742321,-0.00264099)     (0.00742321,0.00264099)      (0.00585898,0.0124142)     (0.00585898,-0.0124142)        (-0.165984,0.178172)       (-0.165984,-0.178172)        (-0.0249205,0.10066)       (-0.0249205,-0.10066)              (0.00848915,0)            (-0.000146939,0)             (-0.00549352,0)               (0.0177716,0)               (0.0019572,0)               (-0.205939,0)                (0.271046,0)              (-0.0150005,0)                (0.630643,0)                (0.019252,0)            (-9.52203e-14,0)            (-1.48622e-14,0)            (-5.55744e-14,0)
            (-0.00541418,0)              (0.00380674,0)               (-0.932261,0)              (-0.0336534,0)              (-0.0571218,0)               (0.0137489,0)              (0.00427915,0)              (-0.0269033,0)             (5.34241e-05,0)     (0.00991833,0.00235366)    (0.00991833,-0.00235366)      (-0.00040443,0.015655)     (-0.00040443,-0.015655)       (-0.254102,0.0883752)      (-0.254102,-0.0883752)      (-0.0573495,0.0906755)     (-0.0573495,-0.0906755)               (0.0059825,0)            (-0.000119058,0)             (-0.00455797,0)               (0.0151313,0)              (0.00165706,0)               (-0.181183,0)                (0.262207,0)              (-0.0142803,0)                (0.585954,0)               (0.0181821,0)            (-9.40097e-14,0)            (-1.41881e-14,0)            (-5.56471e-14,0)
            (7.88625e-05,0)             (0.000567031,0)             (0.000944179,0)              (0.00834558,0)               (0.0050423,0)             (-0.00683381,0)              (-0.0129161,0)              (-0.0134012,0)             (-0.00112449,0)   (-0.00058796,8.37964e-05)  (-0.00058796,-8.37964e-05)   (-0.00233643,2.56326e-05)  (-0.00233643,-2.56326e-05)     (-0.0125013,0.00843879)    (-0.0125013,-0.00843879)    (0.00475235,-0.00284484)     (0.00475235,0.00284484)               (0.0187607,0)                (0.177437,0)               (0.0147611,0)                (0.118416,0)              (0.00128464,0)                (0.655725,0)                 (0.19322,0)              (-0.0191105,0)               (0.0805228,0)              (0.00340525,0)            (-9.37227e-15,0)            (-4.63884e-15,0)             (-4.5038e-14,0)
